number,country,n,i,o,rgdpw60,rgdpw85,gdpgrowth,popgrowth,i_y,school,rgdpw23,gdpgrowth_23,popgrowth_23,i_y_23,school_23,ln_pl_i_23,alpha_23,g_meas_23,delta_23,lngd_meas_23
75,France,1,1,1,7215,15027,3.9,1,26.2,8.9,26673.01165900416,2.6763596512513477,0.5673941706396901,26.167616923339665,13.79342009062635,-0.6545589453840318,0.3365123961120843,0.009878523717111953,0.030139481998048723,-3.0858332018255
76,"Germany, W.",1,1,1,7695,15297,3.3,0.5,28.5,8.4,28586.098967287016,2.236712029177368,0.12905278752570748,27.6581000071019,13.711085792265644,-0.6472702170013687,0.3378629395738243,0.010590318656630515,0.034109347441699356,-3.079327079705193
77,Greece,1,1,1,2257,6868,5.1,0.7,29.3,7.9,10055.80698686542,2.681049160071569,0.2745056777667898,27.23820973187685,9.532208342740473,-0.9528616936120713,0.4870581212453544,0.005279596391055463,0.026123714662389837,-3.3770404882184004
78,Iceland,0,0,0,8091,NA,3.9,NA,29,10.2,30342.49578328539,3.6902754833633145,1.537423221566514,33.17502336576582,14.535520669672295,-0.675502618560704,0.34244950395077434,0.009678203712753186,0.03201371181057766,-2.863544197342665
79,Ireland,1,1,1,4411,8675,3.8,1.1,25.9,11.4,42601.95302730263,4.910019229590046,1.200755136189935,26.544470083899796,10.11271477677685,-0.7938586604666132,0.45906312065199006,0.017455311130328832,0.04192816332215444,-2.6395831064102997
80,Italy,1,1,1,4913,11082,3.8,0.6,24.9,7.1,18921.461574466317,2.3790172919098573,0.21104542469616572,26.354021765291684,11.794660099150587,-0.899271722138442,0.43792701978236426,0.003849859306129133,0.03423259328701534,-3.214064745689252
81,Luxembourg,0,0,0,9015,NA,2.8,NA,26.9,5,35101.71055092194,3.43122714539994,1.223381925838929,29.670201521366828,11.310804998621489,-0.7295273629430417,0.496317175682634,3.741150093119483e-4,0.038708408101229004,-2.9697460128398765
82,Malta,0,0,0,2293,NA,6,NA,30.9,7.1,31748.16114228892,5.404201344653403,1.0978264089903211,31.091667036525912,11.23872309482488,-1.0607162912925718,0.42963528027758,0.010314376611959553,0.06667020602617413,-2.4308407499261784
83,Netherlands,1,1,1,7689,13177,3.6,1.4,25.8,10.7,26474.468223655505,2.7952816245775614,0.7975665704371915,24.711161525920037,11.161266342807354,-0.6588517759192786,0.3526775827631353,0.008500395991291043,0.03657705482328311,-2.936461668824937
84,Norway,1,1,1,7938,19723,4.3,0.7,29.1,10,31665.50809108345,2.9736171494015418,0.7368262710262474,28.890044917352498,11.39797185111992,-0.46455831964949323,0.480200476013124,0.007258233637110534,0.0495033230399713,-2.7468458221773617
85,Portugal,1,1,1,2272,5827,4.4,0.6,22.5,5.8,12463.453318414406,3.032722976357971,0.2862442327042025,25.040879845619195,9.770226424007415,-0.9952448044707791,0.3500274308025838,0.0026515374366560263,0.02761433526757173,-3.40736692326737
86,Spain,1,1,1,3766,9903,4.9,1,17.7,8,17193.571444013767,3.236414717148306,0.7778027641682117,25.797407771460712,8.936719615187128,-0.9030771738096218,0.36357138492166996,0.00893029240792198,0.03349953086581082,-2.9915838717751737
87,Sweden,1,1,1,7802,15237,3.1,0.4,24.5,7.9,26637.099419530543,2.431568932239836,0.45441925265159444,28.124964586459107,11.155976892026093,-0.50613988402698,0.36280271131545294,0.007331976501359971,0.036217747663613416,-3.0345995819791023
88,Switzerland,1,1,1,10308,15881,2.5,0.8,29.7,4.8,23644.91192319758,2.1440103809583055,0.8067650744394861,35.35022367723286,10.94234795735117,-0.583740089162697,0.34967921487987064,0.0028314188411182606,0.04788937227567658,-2.833810010385948
89,Turkey,1,1,1,2274,4444,5.2,2.5,20.2,5.5,11176.675779239307,4.762141048418389,2.1475190251870613,24.572047591209415,16.413403904450288,-1.3426189227056617,0.572631720919162,-0.003322918245917905,0.05065058905165643,-2.6765099497678095
90,United Kingdom,1,1,1,7634,13331,2.5,0.3,18.4,8.9,23787.607105058443,2.213624266317349,0.3861709671798996,22.376964194700122,12.903213060761514,-0.7123772495120974,0.4017871683463454,0.0046262349131804825,0.03682341543026269,-3.094197504968029
91,Barbados,0,0,0,3165,NA,4.8,NA,19.5,12.1,9093.847312596297,2.2275946718570694,0.5292321636380048,16.18250863975845,13.463263558207403,-0.6430923901376097,0.25344121828675303,0.003437010228338311,0.04175902111455798,-2.9860126033746868
92,Canada,1,1,1,10286,17935,4.2,2,23.3,10.6,26340.354183698528,2.98703100841875,1.4612932992453587,24.378078826703135,10.410131407570484,-0.7088205405236355,0.3138364190235734,0.0032615245127920467,0.03556537337135524,-2.9291989144930195
93,Costa Rica,1,1,0,3360,4492,4.7,3.5,14.7,7,9877.293803576158,4.438911958243774,2.666563670026334,14.787720155436546,11.94576336657529,-1.0229754647564349,0.4485624865628779,-3.538005996044369e-4,0.04923597321612761,-2.582989587152537
94,Dominican Rep.,1,1,0,1939,3308,5.1,2.9,17.1,5.8,9489.430593582594,5.08614057734087,2.47039751334186,20.278745779069148,13.57901637530045,-1.1791663076995058,0.44213154492899764,-0.002996041502375091,0.043614357709884644,-2.7284219327913783
95,El Salvador,1,1,0,2042,1997,3.3,3.3,8,3.9,3600.8438162894627,2.651645798531388,1.7315408200153204,12.678641057573259,11.422431505901233,-0.9483753195076097,0.5157514062463021,-0.01388905680069541,0.057014001358766116,-2.806098305091919
96,Guatemala,1,1,0,2481,3034,3.9,3.1,8.8,2.4,4768.716438910811,3.8156322102661067,2.7444548513753553,13.732311467174437,7.942821912033576,-1.1808859757186834,0.5386238438077271,-5.676006714853132e-4,0.040506336488761015,-2.69735829878071
97,Haiti,1,1,0,1096,1237,1.8,1.3,7.1,1.9,1209.1375884119007,2.13556589349555,1.9764230800253912,30.361288075800978,3.45956052095711,-1.857426682736366,NaN,NA,0.01621523038193119,NA
98,Honduras,1,1,0,1430,1822,4,3.1,13.8,3.7,2129.317434581194,3.721906215346782,3.068504799816174,17.717662767972804,8.471005498182272,-1.1271404190808,0.4150463265401346,-0.0044510700723310315,0.052720645791850984,-2.5388819748568934
99,Jamaica,1,1,0,2726,3080,2.1,1.6,20.6,11.2,2911.820027021765,1.4382182293187107,1.3320969602866661,18.111681635491554,15.39295455066836,-0.7732034133619213,0.4351177639327942,-0.0026526881578372574,0.03300120093626902,-3.131105764513503
100,Mexico,1,1,0,4229,7380,5.5,3.3,19.5,6.6,7805.10977434992,3.4890456272948844,2.487268009907795,18.910638499073688,15.999803757941507,-0.9788136192609114,0.6250548814423382,-0.007039862201522307,0.03476783481892199,-2.9450267502569547
101,Nicaragua,1,1,0,3195,3978,4.1,3.3,14.5,5.8,3397.0088524520634,2.696675684608807,2.596785422076353,20.390684856101863,9.160077609573536,-1.5068408923400238,0.4606516821817914,-0.011939878192425368,0.036438017181353644,-2.9864555713259286
102,Panama,1,1,0,2423,5021,5.9,3,26.1,11.6,15212.722890664065,5.607530191680921,2.5724063360234695,23.002686834661297,13.248854298316058,-1.0343948844487971,0.5588591624389996,-0.003279892142239338,0.04397041478659958,-2.711838577879495
103,Trinidad and Tobago,1,1,0,9253,11285,2.7,1.9,20.4,8.8,22476.704086348116,2.625743457180829,1.190108437589088,13.47915430378635,11.938657950677584,-0.740225223702506,0.5279198260977863,-0.0020411449303079365,0.0474080836866051,-2.8600128715554507
104,United States,1,1,1,12362,18988,3.2,1.5,21.1,11.9,39601.79409750664,3.010005280243533,1.1238505129242737,24.15407479275018,11.5500192744556,-0.7095477837121169,0.38626978639513243,0.005903267676225399,0.03756398899713532,-2.9057862405018033
